Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
1,-31.188000917434692,-25.94400119781494,52.0,3.5680749459239385,829
2,39.51599860191345,-31.83600115776062,-38.0,3.26670218897408,2179
2a,45.40799856185913,-29.87200117111206,-28.0,2.468245885434488,
3,-37.08000087738037,-2.3760013580322266,2.0,3.2292040848522303,1292
3a,-31.188000917434692,9.40799856185913,-3.0,2.683357456354779,
3b,-35.11600089073181,-12.196001291275024,7.0,2.6646025372213447,
4,-37.08000087738037,-29.87200117111206,-48.0,3.2053297152516116,8216
4a,-37.08000087738037,-41.65600109100342,-73.0,2.9956186715108055,
4b,-35.11600089073181,-20.052001237869263,-53.0,2.9333446653652295,
4c,-33.15200090408325,-33.80000114440918,-68.0,2.8975365114901206,
5,25.767998695373535,-45.58400106430054,-53.0,3.0358211808202187,559
6,23.803998708724976,36.903998374938965,27.0,3.0179805631069985,675
6a,13.983998775482178,38.867998361587524,32.0,2.455066116929416,
7,29.695998668670654,-35.76400113105774,17.0,3.0165232989434507,308
8,37.55199861526489,52.61599826812744,17.0,2.9541634380544823,482
9,57.19199848175049,25.119998455047607,-38.0,2.9132496034465922,347
10,31.659998655319214,60.47199821472168,7.0,2.892990156996842,597
11,-62.612000703811646,-35.76400113105774,-8.0,2.8187766381220465,2545
11a,-60.648000717163086,-51.476001024246216,-18.0,2.467777204844236,
11b,-56.72000074386597,-41.65600109100342,-18.0,2.264614431743183,
12,-11.548001050949097,21.19199848175049,42.0,2.814432006918127,385
13,-27.260000944137573,1.5519986152648926,27.0,2.8121115151411593,308
14,-13.512001037597656,-84.86400079727173,17.0,2.8000611140833103,906
15,-37.08000087738037,-59.332000970840454,-53.0,2.796391818448652,308
16,33.62399864196777,-61.296000957489014,7.0,2.7822916659436325,347
17,51.29999852180481,3.515998601913452,12.0,2.7645605457638456,366
18,33.62399864196777,-16.124001264572144,37.0,2.7514116878432513,540
19,8.091998815536499,-73.08000087738037,-13.0,2.7479321565737416,655
20,35.58799862861633,25.119998455047607,-13.0,2.744120529479579,270
21,21.839998722076416,-78.97200083732605,22.0,2.729492807132752,1099
21a,15.947998762130737,-86.82800078392029,27.0,2.499957611650573,
22,35.58799862861633,-59.332000970840454,-58.0,2.701453556194308,327
23,27.731998682022095,-31.83600115776062,27.0,2.6839782551731983,829
23a,31.659998655319214,-41.65600109100342,32.0,2.4629115519055076,
24,-62.612000703811646,-59.332000970840454,-33.0,2.6724079984188314,1407
24a,-60.648000717163086,-57.368000984191895,-43.0,2.1254635295063684,
25,27.731998682022095,-53.440001010894775,27.0,2.61551526588927,192
26,13.983998775482178,-43.62000107765198,7.0,2.5961572639260733,327
27,-44.93600082397461,-35.76400113105774,12.0,2.5873255534204787,270
28,41.47999858856201,-47.5480010509491,-63.0,2.5580839052224342,501
29,0.23599886894226074,1.5519986152648926,-3.0,2.5407896223907103,694
29a,-11.548001050949097,-0.412001371383667,-8.0,2.2165948351637277,
30,-1.7280011177062988,-18.088001251220703,32.0,2.509724628418517,192
31,19.875998735427856,-49.512001037597656,-68.0,2.476146445534261,482
31a,12.019998788833618,-39.69200110435486,-68.0,2.432302891414095,
32,27.731998682022095,-22.016001224517822,12.0,2.4724135378454752,327
33,-21.368000984191895,-90.75600075721741,42.0,2.4653135086552846,212
34,-41.00800085067749,-77.00800085067749,7.0,2.41245203553506,347
35,0.23599886894226074,-102.54000067710876,12.0,2.337737547930773,192
36,23.803998708724976,-78.97200083732605,7.0,2.313606640093696,231
37,-17.440001010894775,32.975998401641846,7.0,2.2917206843513487,212
38,-25.296000957489014,19.22799849510193,-13.0,2.2825598045849596,540
39,43.44399857521057,-43.62000107765198,-3.0,2.2775544035537747,231
40,-48.86400079727173,-33.80000114440918,-28.0,2.255713525351376,482
41,-11.548001050949097,-14.160001277923584,42.0,2.2512856948751723,308
42,-27.260000944137573,-102.54000067710876,42.0,2.2376973783339227,250
43,-7.6200010776519775,-78.97200083732605,-18.0,2.206388232523696,192
44,67.01199841499329,23.155998468399048,-48.0,2.1976172457141026,597
44a,70.9399983882904,15.29999852180481,-43.0,2.125122618302914,
44b,67.01199841499329,21.19199848175049,-58.0,2.0669412523497255,
45,12.019998788833618,-69.15200090408325,-38.0,2.169639544616771,192
