Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
1,0.23599886894226074,-67.18800091743469,-68.0,3.6499227155673237,2352
1a,-5.656001091003418,-61.296000957489014,-73.0,3.0670604807308077,
2,-37.08000087738037,-78.97200083732605,12.0,3.4459547869381413,1986
3,45.40799856185913,-49.512001037597656,47.0,3.2780892588235897,1041
4,-48.86400079727173,-51.476001024246216,47.0,3.217025433086888,482
5,-15.476001024246216,-22.016001224517822,-28.0,3.182385793470745,3220
5a,-3.6920011043548584,-23.980001211166382,-18.0,2.9569173734569536,
5b,-11.548001050949097,-25.94400119781494,-43.0,2.782336096834004,
5c,-19.404000997543335,-29.87200117111206,-13.0,2.7664009300115526,
6,-35.11600089073181,-29.87200117111206,-48.0,3.154494950044594,10916
6a,-37.08000087738037,-39.69200110435486,-68.0,3.021072555090265,
6b,-33.15200090408325,-20.052001237869263,-53.0,2.9042341408459986,
6c,-35.11600089073181,-53.440001010894775,-58.0,2.4421954574315254,
7,43.44399857521057,-67.18800091743469,27.0,3.147364093638415,2449
7a,39.51599860191345,-61.296000957489014,32.0,2.8374034769337046,
7b,51.29999852180481,-69.15200090408325,22.0,2.4175767703526616,
7c,39.51599860191345,-43.62000107765198,32.0,2.3369863380303064,
8,8.091998815536499,-65.22400093078613,32.0,3.091564677362502,289
9,-41.00800085067749,-65.22400093078613,-3.0,3.0675599074674533,327
10,37.55199861526489,-33.80000114440918,-33.0,3.046273671570001,4995
10a,43.44399857521057,-33.80000114440918,-23.0,2.6443291342586557,
10b,43.44399857521057,-49.512001037597656,-58.0,2.319125578083206,
11,4.16399884223938,-47.5480010509491,12.0,3.0402083603938013,443
12,19.875998735427856,-33.80000114440918,52.0,3.0207564631596946,983
13,29.695998668670654,-69.15200090408325,-58.0,2.980893064660828,520
14,19.875998735427856,23.155998468399048,22.0,2.9492917886954744,983
15,-35.11600089073181,23.155998468399048,-23.0,2.926561655611844,1195
16,-13.512001037597656,-80.93600082397461,-53.0,2.8283019026768517,1581
16a,-17.440001010894775,-86.82800078392029,-43.0,2.6616983929123923,
16b,-19.404000997543335,-77.00800085067749,-58.0,2.6604550329673886,
16c,-23.332000970840454,-80.93600082397461,-38.0,2.4971717183557836,
17,-19.404000997543335,-6.304001331329346,72.0,2.7745658683996095,810
17a,-21.368000984191895,-2.3760013580322266,57.0,2.270945926725615,
18,12.019998788833618,-29.87200117111206,-43.0,2.7662093280030398,1041
18a,0.23599886894226074,-29.87200117111206,-48.0,2.1110387355342284,
19,-68.50400066375732,-37.7280011177063,22.0,2.7174127181780063,424
20,-33.15200090408325,42.795998334884644,17.0,2.706695174253297,270
21,-21.368000984191895,-98.61200070381165,-8.0,2.6945879313124883,867
21a,-19.404000997543335,-94.68400073051453,2.0,2.643128160272012,
22,-27.260000944137573,-0.412001371383667,-23.0,2.6851654128824514,212
23,2.1999988555908203,-63.26000094413757,-43.0,2.6834316864166876,1446
23a,4.16399884223938,-77.00800085067749,-48.0,2.4766572600458154,
23b,-3.6920011043548584,-65.22400093078613,-48.0,2.2782629833127523,
23c,-3.6920011043548584,-75.04400086402893,-48.0,2.273330158252977,
24,74.86799836158752,-8.268001317977905,7.0,2.6736449972218734,289
25,-15.476001024246216,-75.04400086402893,-28.0,2.612952157790162,366
26,-50.82800078392029,-31.83600115776062,47.0,2.5411481288545392,212
27,-21.368000984191895,-22.016001224517822,2.0,2.5380252539211003,597
28,-52.79200077056885,-29.87200117111206,27.0,2.534080597600044,347
29,-62.612000703811646,-59.332000970840454,-28.0,2.523438952496683,5149
29a,-62.612000703811646,-37.7280011177063,-3.0,2.48375271276876,
29b,-56.72000074386597,-31.83600115776062,-13.0,2.424812102101005,
29c,-62.612000703811646,-49.512001037597656,-8.0,2.1423994955143133,
30,-21.368000984191895,-14.160001277923584,47.0,2.4492740392475674,250
31,-25.296000957489014,15.29999852180481,-8.0,2.444775201956561,655
32,-19.404000997543335,-41.65600109100342,52.0,2.430883694123863,424
33,-41.00800085067749,-57.368000984191895,7.0,2.428576550617448,192
34,4.16399884223938,-43.62000107765198,-23.0,2.417129072044904,231
35,15.947998762130737,-84.86400079727173,32.0,2.4160886472623586,540
35a,21.839998722076416,-88.79200077056885,27.0,2.3270577576942872,
36,-9.584001064300537,-86.82800078392029,17.0,2.2974223027900464,212
37,-29.224000930786133,-102.54000067710876,37.0,2.2424469724586364,270
38,-19.404000997543335,21.19199848175049,7.0,2.223827311463296,212
39,-15.476001024246216,-57.368000984191895,-18.0,2.223258728958382,231
40,-35.11600089073181,-80.93600082397461,37.0,2.214766513486774,192
41,53.26399850845337,54.579998254776,-38.0,2.193883018897109,212
42,67.01199841499329,21.19199848175049,-58.0,2.0734690073336237,270
