participant_id,file_path,original_shape,shape_3d,is_4d,voxel_size,shape_ok,voxel_ok,affine_ok,max_affine_diff,max_voxel_diff,needs_resampling
sub-01,D:\fmri\fmri_output1\sub-01\func\sub-01_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-02,D:\fmri\fmri_output1\sub-02\func\sub-02_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-03,D:\fmri\fmri_output1\sub-03\func\sub-03_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-04,D:\fmri\fmri_output1\sub-04\func\sub-04_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-05,D:\fmri\fmri_output1\sub-05\func\sub-05_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-06,D:\fmri\fmri_output1\sub-06\func\sub-06_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-07,D:\fmri\fmri_output1\sub-07\func\sub-07_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-08,D:\fmri\fmri_output1\sub-08\func\sub-08_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-09,D:\fmri\fmri_output1\sub-09\func\sub-09_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-10,D:\fmri\fmri_output1\sub-10\func\sub-10_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-11,D:\fmri\fmri_output1\sub-11\func\sub-11_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-12,D:\fmri\fmri_output1\sub-12\func\sub-12_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-13,D:\fmri\fmri_output1\sub-13\func\sub-13_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-14,D:\fmri\fmri_output1\sub-14\func\sub-14_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-15,D:\fmri\fmri_output1\sub-15\func\sub-15_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-16,D:\fmri\fmri_output1\sub-16\func\sub-16_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-17,D:\fmri\fmri_output1\sub-17\func\sub-17_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-18,D:\fmri\fmri_output1\sub-18\func\sub-18_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-19,D:\fmri\fmri_output1\sub-19\func\sub-19_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-20,D:\fmri\fmri_output1\sub-20\func\sub-20_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-21,D:\fmri\fmri_output1\sub-21\func\sub-21_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-22,D:\fmri\fmri_output1\sub-22\func\sub-22_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-23,D:\fmri\fmri_output1\sub-23\func\sub-23_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-24,D:\fmri\fmri_output1\sub-24\func\sub-24_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-25,D:\fmri\fmri_output1\sub-25\func\sub-25_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-26,D:\fmri\fmri_output1\sub-26\func\sub-26_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-27,D:\fmri\fmri_output1\sub-27\func\sub-27_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-28,D:\fmri\fmri_output1\sub-28\func\sub-28_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-29,D:\fmri\fmri_output1\sub-29\func\sub-29_reho.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
