participant_id,file_path,original_shape,shape_3d,is_4d,voxel_size,shape_ok,voxel_ok,affine_ok,max_affine_diff,max_voxel_diff,needs_resampling
sub-01,D:\fmri\fmri_output1\sub-01\func\sub-01_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-02,D:\fmri\fmri_output1\sub-02\func\sub-02_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-03,D:\fmri\fmri_output1\sub-03\func\sub-03_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-04,D:\fmri\fmri_output1\sub-04\func\sub-04_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-05,D:\fmri\fmri_output1\sub-05\func\sub-05_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-06,D:\fmri\fmri_output1\sub-06\func\sub-06_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-07,D:\fmri\fmri_output1\sub-07\func\sub-07_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-08,D:\fmri\fmri_output1\sub-08\func\sub-08_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-09,D:\fmri\fmri_output1\sub-09\func\sub-09_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-10,D:\fmri\fmri_output1\sub-10\func\sub-10_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-11,D:\fmri\fmri_output1\sub-11\func\sub-11_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-12,D:\fmri\fmri_output1\sub-12\func\sub-12_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-13,D:\fmri\fmri_output1\sub-13\func\sub-13_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-14,D:\fmri\fmri_output1\sub-14\func\sub-14_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-15,D:\fmri\fmri_output1\sub-15\func\sub-15_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-16,D:\fmri\fmri_output1\sub-16\func\sub-16_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-17,D:\fmri\fmri_output1\sub-17\func\sub-17_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-18,D:\fmri\fmri_output1\sub-18\func\sub-18_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-19,D:\fmri\fmri_output1\sub-19\func\sub-19_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.965, 1.965, 5.000)",True,True,True,0.01000213623046875,0.001000046730041504,False
sub-20,D:\fmri\fmri_output1\sub-20\func\sub-20_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-21,D:\fmri\fmri_output1\sub-21\func\sub-21_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-22,D:\fmri\fmri_output1\sub-22\func\sub-22_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-23,D:\fmri\fmri_output1\sub-23\func\sub-23_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-24,D:\fmri\fmri_output1\sub-24\func\sub-24_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-25,D:\fmri\fmri_output1\sub-25\func\sub-25_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-26,D:\fmri\fmri_output1\sub-26\func\sub-26_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-27,D:\fmri\fmri_output1\sub-27\func\sub-27_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-28,D:\fmri\fmri_output1\sub-28\func\sub-28_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-29,D:\fmri\fmri_output1\sub-29\func\sub-29_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-30,D:\fmri\fmri_output1\sub-30\func\sub-30_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 4.999)",True,True,True,0.0009999275207519531,0.0009999275207519531,False
sub-52,D:\fmri\fmri_output1\sub-52\func\sub-52_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-53,D:\fmri\fmri_output1\sub-53\func\sub-53_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-54,D:\fmri\fmri_output1\sub-54\func\sub-54_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-55,D:\fmri\fmri_output1\sub-55\func\sub-55_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
sub-56,D:\fmri\fmri_output1\sub-56\func\sub-56_seed1_fc_map.nii.gz,"(78, 97, 35)","(78, 97, 35)",False,"(1.964, 1.964, 5.000)",True,True,True,0.0,0.0,False
