Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
1,49.33599853515625,-14.160001277923584,-28.0,3.211960846382584,1195
2,-19.404000997543335,-8.268001317977905,62.0,3.1869349089933494,983
2a,-21.368000984191895,7.443998575210571,52.0,2.5225078923773077,
3,-1.7280011177062988,-12.196001291275024,-3.0,3.0576319331878112,636
4,65.04799842834473,-75.04400086402893,37.0,3.031086820414111,366
5,23.803998708724976,68.32799816131592,12.0,3.0083339567594645,385
6,-23.332000970840454,-10.232001304626465,7.0,2.962968020790308,231
7,-44.93600082397461,32.975998401641846,32.0,2.8914370323816296,347
8,10.055998802185059,-45.58400106430054,-78.0,2.8566315009561776,424
9,39.51599860191345,-27.9080011844635,27.0,2.7413966081800996,212
10,19.875998735427856,-29.87200117111206,12.0,2.491752494741038,347
11,-44.93600082397461,1.5519986152648926,-38.0,2.4846135970642087,270
12,27.731998682022095,-23.980001211166382,-23.0,2.482430057878463,192
13,-11.548001050949097,5.479998588562012,-3.0,2.3491960165206356,192
14,10.055998802185059,11.37199854850769,7.0,2.326075621187176,231
15,39.51599860191345,-29.87200117111206,-23.0,2.260231877150378,250
