x,y,z,coordinate,t_stat,p_value,cohens_d,depr_mean,control_mean,depr_greater
46,34,28,"(46, 34, 28)",-5.941,0.0,-1.5799,0.953,1.1126,False
54,32,13,"(54, 32, 13)",5.1396,6e-06,1.4398,1.096,0.9646,True
14,19,16,"(14, 19, 16)",4.8956,1.1e-05,1.2965,1.139,0.9762,True
59,31,27,"(59, 31, 27)",-4.7344,2.1e-05,-1.3114,0.9621,1.1706,False
56,39,19,"(56, 39, 19)",4.5425,3.9e-05,1.2558,1.0266,0.905,True
38,83,25,"(38, 83, 25)",-4.3783,7e-05,-1.2275,0.9876,1.1586,False
10,39,28,"(10, 39, 28)",-4.3426,8.1e-05,-1.2283,0.9726,1.1167,False
27,20,4,"(27, 20, 4)",4.3119,8.2e-05,1.1897,1.0281,0.8823,True
60,31,27,"(60, 31, 27)",-4.2155,0.000109,-1.1526,0.9917,1.1898,False
23,44,21,"(23, 44, 21)",4.1883,0.000117,1.1335,1.0683,0.9609,True
22,44,26,"(22, 44, 26)",4.2026,0.000119,1.1685,1.0397,0.9232,True
71,73,18,"(71, 73, 18)",-4.2038,0.00012,-1.1734,0.9363,1.0992,False
61,66,27,"(61, 66, 27)",4.193,0.000123,1.1677,1.0807,0.9153,True
28,15,18,"(28, 15, 18)",4.0389,0.000201,1.1244,1.0683,0.9361,True
16,71,24,"(16, 71, 24)",4.1337,0.000221,1.2468,1.1192,0.9385,True
47,18,19,"(47, 18, 19)",3.9808,0.00023,1.0434,1.0929,0.9652,True
59,88,13,"(59, 88, 13)",3.9845,0.000233,1.0999,1.0145,0.8654,True
66,22,17,"(66, 22, 17)",-3.9878,0.000238,-1.1146,1.0315,1.1595,False
43,23,17,"(43, 23, 17)",3.964,0.00024,1.0683,1.1159,0.9603,True
33,14,19,"(33, 14, 19)",3.9425,0.000256,1.0587,1.0642,0.9555,True
27,67,28,"(27, 67, 28)",3.9408,0.000258,1.0568,1.0523,0.927,True
