x,y,z,coordinate,t_stat,p_value,cohens_d,depr_mean,control_mean,depr_greater
65,23,11,"(65, 23, 11)",-4.5161,4e-05,-1.2285,0.0113,0.283,False
37,56,25,"(37, 56, 25)",-4.3696,8.2e-05,-1.0936,0.0151,0.2493,False
54,20,8,"(54, 20, 8)",-4.3144,0.000101,-1.2506,-0.013,0.2204,False
7,60,17,"(7, 60, 17)",-4.229,0.000108,-1.1724,-0.0892,0.1893,False
74,56,22,"(74, 56, 22)",-4.2308,0.000122,-1.2105,-0.0499,0.2534,False
72,65,19,"(72, 65, 19)",-4.1457,0.000135,-1.0965,-0.0192,0.2302,False
48,79,19,"(48, 79, 19)",-4.1565,0.000136,-1.1498,-0.0453,0.2,False
50,84,21,"(50, 84, 21)",-4.1325,0.00014,-1.1025,-0.006,0.2515,False
27,52,17,"(27, 52, 17)",4.1196,0.000146,1.1117,0.1502,-0.0915,True
10,35,27,"(10, 35, 27)",4.0705,0.000171,1.0823,0.1654,-0.0961,True
58,12,15,"(58, 12, 15)",-4.0535,0.00018,-1.0877,-0.0065,0.2465,False
54,21,8,"(54, 21, 8)",-4.0511,0.000188,-1.1159,0.0209,0.2192,False
40,65,31,"(40, 65, 31)",-4.0782,0.000192,-1.1604,-0.0211,0.2497,False
71,56,21,"(71, 56, 21)",-4.0252,0.000213,-1.1275,-0.0242,0.2069,False
63,35,6,"(63, 35, 6)",4.0168,0.000215,1.0327,0.1524,-0.0482,True
17,74,22,"(17, 74, 22)",4.0195,0.000221,1.1313,0.2181,-0.0357,True
23,93,19,"(23, 93, 19)",-3.9931,0.000225,-1.0392,-0.0134,0.2239,False
50,53,25,"(50, 53, 25)",-3.9915,0.000239,-1.1212,-0.1027,0.1689,False
35,49,34,"(35, 49, 34)",-3.957,0.000245,-1.0672,0.0172,0.28,False
46,31,10,"(46, 31, 10)",-3.9469,0.000258,-1.0802,-0.0001,0.1982,False
57,38,24,"(57, 38, 24)",-3.9428,0.000259,-1.0351,-0.0297,0.207,False
17,55,12,"(17, 55, 12)",-3.9673,0.000262,-1.12,0.013,0.2466,False
51,92,18,"(51, 92, 18)",3.9215,0.000274,1.0557,0.2539,0.0038,True
55,45,16,"(55, 45, 16)",-3.9267,0.000279,-1.083,-0.0566,0.1947,False
54,25,9,"(54, 25, 9)",-3.9169,0.000292,-1.0878,0.0092,0.2443,False
46,45,34,"(46, 45, 34)",-3.869,0.000324,-1.0239,-0.0036,0.2547,False
4,58,10,"(4, 58, 10)",3.8789,0.000341,1.0922,0.3269,0.0662,True
50,38,32,"(50, 38, 32)",-3.8705,0.000358,-1.0975,-0.0427,0.202,False
20,67,6,"(20, 67, 6)",3.843,0.000359,1.0562,0.1908,-0.0133,True
16,73,22,"(16, 73, 22)",3.8289,0.000366,1.0267,0.2389,-0.0097,True
57,53,22,"(57, 53, 22)",-3.8385,0.000386,-1.0806,-0.0674,0.1605,False
18,11,12,"(18, 11, 12)",-3.807,0.000394,-1.0317,0.0109,0.2363,False
50,39,32,"(50, 39, 32)",-3.9472,0.000396,-1.2004,-0.0792,0.1849,False
59,44,31,"(59, 44, 31)",-3.8205,0.000397,-1.0647,-0.0304,0.2008,False
9,57,20,"(9, 57, 20)",-3.7955,0.000408,-1.0278,-0.0035,0.2293,False
22,33,21,"(22, 33, 21)",-3.7915,0.000413,-1.0255,-0.1057,0.114,False
25,11,19,"(25, 11, 19)",-3.8365,0.000415,-1.1012,-0.0429,0.1674,False
59,43,26,"(59, 43, 26)",-3.8109,0.000417,-1.0702,-0.0331,0.1549,False
53,20,8,"(53, 20, 8)",-3.7858,0.000428,-1.0391,-0.0049,0.1992,False
29,58,27,"(29, 58, 27)",3.8036,0.000431,1.0722,0.102,-0.1355,True
51,46,32,"(51, 46, 32)",-3.7957,0.00045,-0.9617,0.0152,0.172,False
26,10,19,"(26, 10, 19)",-3.7705,0.000456,-1.0441,-0.0166,0.181,False
16,74,22,"(16, 74, 22)",3.7567,0.000465,1.0264,0.2258,-0.01,True
3,43,15,"(3, 43, 15)",-3.7857,0.00048,-1.0852,0.0206,0.2477,False
48,58,23,"(48, 58, 23)",-3.7955,0.000481,-1.0971,-0.0334,0.134,False
41,50,12,"(41, 50, 12)",-3.7502,0.000512,-1.0606,-0.0055,0.2308,False
3,58,11,"(3, 58, 11)",3.7248,0.000515,1.0204,0.2523,-0.014,True
49,39,32,"(49, 39, 32)",-3.777,0.000515,-1.0954,-0.0421,0.1852,False
69,67,24,"(69, 67, 24)",3.7359,0.000526,1.0509,0.1563,-0.0876,True
12,49,27,"(12, 49, 27)",-3.7079,0.000536,-0.9776,-0.0246,0.1963,False
55,68,18,"(55, 68, 18)",-3.7511,0.000545,-1.0822,-0.0822,0.1624,False
22,32,21,"(22, 32, 21)",-3.7163,0.000551,-0.9518,-0.1108,0.0675,False
67,21,10,"(67, 21, 10)",-3.6966,0.000567,-1.019,0.038,0.2605,False
20,34,6,"(20, 34, 6)",3.7582,0.000594,1.1129,0.1769,-0.075,True
71,78,15,"(71, 78, 15)",-3.6764,0.00062,-0.9422,-0.0316,0.162,False
60,44,31,"(60, 44, 31)",-3.6956,0.000623,-1.0565,-0.0381,0.2435,False
50,83,21,"(50, 83, 21)",-3.7098,0.000629,-1.0764,0.0041,0.2254,False
46,22,20,"(46, 22, 20)",-3.6819,0.000641,-1.0487,0.0057,0.2757,False
52,92,18,"(52, 92, 18)",3.6823,0.000652,1.0545,0.2702,0.0295,True
26,11,19,"(26, 11, 19)",-3.6452,0.000674,-1.014,-0.0907,0.1327,False
53,21,8,"(53, 21, 8)",-3.6428,0.000705,-1.0297,0.0003,0.1969,False
10,53,22,"(10, 53, 22)",-3.6206,0.000725,-1.0069,-0.0128,0.1945,False
42,49,11,"(42, 49, 11)",-3.606,0.00074,-0.9885,-0.0266,0.1768,False
18,10,12,"(18, 10, 12)",-3.5873,0.00077,-0.9606,-0.0089,0.1955,False
56,37,24,"(56, 37, 24)",-3.5989,0.000787,-1.0086,-0.0789,0.1464,False
24,52,15,"(24, 52, 15)",-3.587,0.000809,-1.0018,-0.0271,0.1925,False
60,43,27,"(60, 43, 27)",-3.61,0.000814,-1.0367,-0.0548,0.1507,False
0,48,14,"(0, 48, 14)",-3.6313,0.000822,-1.0648,0.0064,0.2018,False
23,32,21,"(23, 32, 21)",-3.5644,0.000863,-0.9154,-0.0891,0.105,False
47,55,13,"(47, 55, 13)",-3.551,0.000863,-0.9623,-0.027,0.2401,False
11,54,21,"(11, 54, 21)",-3.539,0.000894,-0.9341,0.0192,0.2427,False
58,54,12,"(58, 54, 12)",3.538,0.000906,0.9682,0.0771,-0.1152,True
9,53,22,"(9, 53, 22)",-3.5511,0.000907,-0.9952,0.0046,0.2231,False
63,34,16,"(63, 34, 16)",-3.5457,0.00092,-0.9926,-0.057,0.1381,False
12,49,26,"(12, 49, 26)",-3.5598,0.000931,-1.0181,-0.054,0.1685,False
59,40,31,"(59, 40, 31)",-3.5634,0.000934,-1.0239,0.0044,0.2081,False
4,57,10,"(4, 57, 10)",3.5634,0.000934,1.0239,0.2312,0.001,True
49,54,12,"(49, 54, 12)",-3.5628,0.000939,-1.0248,-0.0251,0.2313,False
60,76,13,"(60, 76, 13)",3.541,0.000946,0.9978,0.1421,-0.1199,True
28,58,11,"(28, 58, 11)",-3.5223,0.000957,-0.9696,-0.0904,0.1322,False
54,24,9,"(54, 24, 9)",-3.557,0.000958,-1.0244,0.0707,0.2682,False
29,52,28,"(29, 52, 28)",3.5207,0.00097,0.975,0.1082,-0.1008,True
23,33,21,"(23, 33, 21)",-3.5095,0.000974,-0.9407,-0.1029,0.0774,False
29,28,29,"(29, 28, 29)",-3.51,0.000977,-0.9522,-0.0087,0.1832,False
25,26,24,"(25, 26, 24)",-3.5156,0.001003,-0.9829,-0.0593,0.1117,False
26,18,8,"(26, 18, 8)",-3.5019,0.001007,-0.9564,-0.0164,0.1646,False
57,37,24,"(57, 37, 24)",-3.5055,0.001023,-0.975,-0.0133,0.1709,False
48,78,19,"(48, 78, 19)",-3.504,0.001025,-0.9734,-0.0124,0.1851,False
17,56,12,"(17, 56, 12)",-3.4954,0.001025,-0.9526,-0.0056,0.2538,False
40,35,16,"(40, 35, 16)",-3.5213,0.001038,-1.0057,-0.0847,0.186,False
34,39,33,"(34, 39, 33)",-3.5434,0.001041,-1.0344,-0.0365,0.1888,False
24,36,26,"(24, 36, 26)",-3.5028,0.001043,-0.9799,-0.0185,0.1535,False
16,56,12,"(16, 56, 12)",-3.494,0.001047,-0.9653,0.0179,0.2242,False
60,20,13,"(60, 20, 13)",3.5669,0.001054,1.0641,0.1386,-0.0421,True
19,67,6,"(19, 67, 6)",3.4969,0.001056,0.9761,0.1643,-0.0413,True
10,54,21,"(10, 54, 21)",-3.4822,0.001057,-0.9246,-0.0083,0.2212,False
11,23,15,"(11, 23, 15)",-3.4813,0.001059,-0.9296,-0.002,0.1456,False
